"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1M_T2M","142","1955-01-01","-2.53","4","5",
"OBS_DEU_P1M_T2M","142","1955-02-01","-1.29","4","5",
"OBS_DEU_P1M_T2M","142","1955-03-01","0.99","4","5",
"OBS_DEU_P1M_T2M","142","1955-04-01","7.27","4","5",
"OBS_DEU_P1M_T2M","142","1955-05-01","11.35","4","5",
"OBS_DEU_P1M_T2M","142","1955-06-01","15.45","4","5",
"OBS_DEU_P1M_T2M","142","1955-07-01","17.37","4","5",
"OBS_DEU_P1M_T2M","142","1955-08-01","16.69","4","5",
"OBS_DEU_P1M_T2M","142","1955-09-01","13.36","4","5",
"OBS_DEU_P1M_T2M","142","1955-10-01","7.59","4","5",
"OBS_DEU_P1M_T2M","142","1955-11-01","2.3","4","5",
"OBS_DEU_P1M_T2M","142","1955-12-01","2.42","4","5",
"OBS_DEU_P1M_T2M","142","1956-01-01","0.37","4","5",
"OBS_DEU_P1M_T2M","142","1956-02-01","-10.5","4","5",
"OBS_DEU_P1M_T2M","142","1956-03-01","3.02","4","5",
"OBS_DEU_P1M_T2M","142","1956-04-01","6.34","4","5",
"OBS_DEU_P1M_T2M","142","1956-05-01","12.83","4","5",
"OBS_DEU_P1M_T2M","142","1956-06-01","13.26","4","5",
"OBS_DEU_P1M_T2M","142","1956-07-01","17.2","4","5",
"OBS_DEU_P1M_T2M","142","1956-08-01","15.19","4","5",
"OBS_DEU_P1M_T2M","142","1956-09-01","14.24","4","5",
"OBS_DEU_P1M_T2M","142","1956-10-01","7.56","4","5",
"OBS_DEU_P1M_T2M","142","1956-11-01","1.49","4","5",
"OBS_DEU_P1M_T2M","142","1956-12-01","-0.11","4","5",
"OBS_DEU_P1M_T2M","142","1957-01-01","-2.15","4","5",
"OBS_DEU_P1M_T2M","142","1957-02-01","3.8","4","5",
"OBS_DEU_P1M_T2M","142","1957-03-01","7.36","4","5",
