"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1M_RR","142","1955-01-01","85.3","4","5",
"OBS_DEU_P1M_RR","142","1955-02-01","76.9","4","5",
"OBS_DEU_P1M_RR","142","1955-03-01","26","4","5",
"OBS_DEU_P1M_RR","142","1955-04-01","56.5","4","5",
"OBS_DEU_P1M_RR","142","1955-05-01","90","4","5",
"OBS_DEU_P1M_RR","142","1955-06-01","152.8","4","5",
"OBS_DEU_P1M_RR","142","1955-07-01","121.8","4","5",
"OBS_DEU_P1M_RR","142","1955-08-01","41.3","4","5",
"OBS_DEU_P1M_RR","142","1955-09-01","120.5","4","5",
"OBS_DEU_P1M_RR","142","1955-10-01","41.6","4","5",
"OBS_DEU_P1M_RR","142","1955-11-01","12.6","4","5",
"OBS_DEU_P1M_RR","142","1955-12-01","107","4","5",
"OBS_DEU_P1M_RR","142","1956-01-01","69.2","4","5",
"OBS_DEU_P1M_RR","142","1956-02-01","34.1","4","5",
"OBS_DEU_P1M_RR","142","1956-03-01","51","4","5",
"OBS_DEU_P1M_RR","142","1956-04-01","52.4","4","5",
"OBS_DEU_P1M_RR","142","1956-05-01","74","4","5",
"OBS_DEU_P1M_RR","142","1956-06-01","115.9","4","5",
"OBS_DEU_P1M_RR","142","1956-07-01","137.1","4","5",
"OBS_DEU_P1M_RR","142","1956-08-01","103.9","4","5",
"OBS_DEU_P1M_RR","142","1956-09-01","44.8","4","5",
"OBS_DEU_P1M_RR","142","1956-10-01","132.4","4","5",
"OBS_DEU_P1M_RR","142","1956-11-01","49.9","4","5",
"OBS_DEU_P1M_RR","142","1956-12-01","27.8","4","5",
"OBS_DEU_P1M_RR","142","1957-01-01","47.3","4","5",
"OBS_DEU_P1M_RR","142","1957-02-01","99.3","4","5",
"OBS_DEU_P1M_RR","142","1957-03-01","40","4","5",
"OBS_DEU_P1M_RR","142","1957-04-01","45.5","4","5",
"OBS_DEU_P1M_RR","142","1957-05-01","41.1","4","5",
"OBS_DEU_P1M_RR","142","1957-06-01","134.4","4","5",
"OBS_DEU_P1M_RR","142","1957-07-01","193.3","4","5",
"OBS_DEU_P1M_RR","142","1957-08-01","111.9","4","5",
"OBS_DEU_P1M_RR","142","1957-09-01","97.1","4","5",
"OBS_DEU_P1M_RR","142","1957-10-01","16.8","4","5",
"OBS_DEU_P1M_RR","142","1957-11-01","25.8","4","5",
"OBS_DEU_P1M_RR","142","1957-12-01","27.9","4","5",
"OBS_DEU_P1M_RR","142","1958-01-01","80.3","4","5",
"OBS_DEU_P1M_RR","142","1958-02-01","169.3","4","5",
"OBS_DEU_P1M_RR","142","1958-03-01","43.7","4","5",
"OBS_DEU_P1M_RR","142","1958-04-01","82.2","4","5",
"OBS_DEU_P1M_RR","142","1958-05-01","59.1","4","5",
"OBS_DEU_P1M_RR","142","1958-06-01","166.3","4","5",
"OBS_DEU_P1M_RR","142","1958-07-01","162.5","4","5",
"OBS_DEU_P1M_RR","142","1958-08-01","71.8","4","5",
"OBS_DEU_P1M_RR","142","1958-09-01","44","4","5",
"OBS_DEU_P1M_RR","142","1958-10-01","91","4","5",
"OBS_DEU_P1M_RR","142","1958-11-01","37.7","4","5",
"OBS_DEU_P1M_RR","142","1958-12-01","85.9","4","5",
"OBS_DEU_P1M_RR","142","1959-01-01","70.3","4","5",
"OBS_DEU_P1M_RR","142","1959-02-01","12.1","4","5",
"OBS_DEU_P1M_RR","142","1959-03-01","49","4","5",
"OBS_DEU_P1M_RR","142","1959-04-01","65","4","5",
"OBS_DEU_P1M_RR","142","1959-05-01","135.5","4","5",
"OBS_DEU_P1M_RR","142","1959-06-01","128.1","4","5",
"OBS_DEU_P1M_RR","142","1959-07-01","110.6","4","5",
"OBS_DEU_P1M_RR","142","1959-08-01","43.8","4","5",
"OBS_DEU_P1M_RR","142","1959-09-01","3.5","4","5",
"OBS_DEU_P1M_RR","142","1959-10-01","54.8","4","5",
"OBS_DEU_P1M_RR","142","1959-11-01","33.8","4","5",
"OBS_DEU_P1M_RR","142","1959-12-01","52.3","4","5",
"OBS_DEU_P1M_RR","142","1960-01-01","43.6","4","5",
"OBS_DEU_P1M_RR","142","1960-02-01","60.6","4","5",
"OBS_DEU_P1M_RR","142","1960-03-01","59.7","4","5",
"OBS_DEU_P1M_RR","142","1960-04-01","37.1","4","5",
"OBS_DEU_P1M_RR","142","1960-05-01","81","4","5",
"OBS_DEU_P1M_RR","142","1960-06-01","107.4","4","5",
"OBS_DEU_P1M_RR","142","1960-07-01","85.7","4","5",
"OBS_DEU_P1M_RR","142","1960-08-01","110.4","4","5",
"OBS_DEU_P1M_RR","142","1960-09-01","46.2","4","5",
"OBS_DEU_P1M_RR","142","1960-10-01","119.7","4","5",
"OBS_DEU_P1M_RR","142","1960-11-01","41.7","4","5",
"OBS_DEU_P1M_RR","142","1960-12-01","60.4","4","5",
"OBS_DEU_P1M_RR","142","1961-01-01","44","4","5",
"OBS_DEU_P1M_RR","142","1961-02-01","53.8","4","5",
"OBS_DEU_P1M_RR","142","1961-03-01","34.7","4","5",
"OBS_DEU_P1M_RR","142","1961-04-01","54.3","4","5",
"OBS_DEU_P1M_RR","142","1961-05-01","153.3","4","5",
"OBS_DEU_P1M_RR","142","1961-06-01","142.9","4","5",
"OBS_DEU_P1M_RR","142","1961-07-01","78.5","4","5",
"OBS_DEU_P1M_RR","142","1961-08-01","93.5","4","5",
"OBS_DEU_P1M_RR","142","1961-09-01","61.2","4","5",
"OBS_DEU_P1M_RR","142","1961-10-01","18.5","4","5",
"OBS_DEU_P1M_RR","142","1961-11-01","44.6","4","5",
"OBS_DEU_P1M_RR","142","1961-12-01","97.6","4","5",
"OBS_DEU_P1M_RR","142","1962-01-01","75.9","4","5",
"OBS_DEU_P1M_RR","142","1962-02-01","47.2","4","5",
"OBS_DEU_P1M_RR","142","1962-03-01","74.1","4","5",
"OBS_DEU_P1M_RR","142","1962-04-01","41.6","4","5",
"OBS_DEU_P1M_RR","142","1962-05-01","131.1","4","5",
"OBS_DEU_P1M_RR","142","1962-06-01","67.6","4","5",
"OBS_DEU_P1M_RR","142","1962-07-01","58.7","4","5",
"OBS_DEU_P1M_RR","142","1962-08-01","67.5","4","5",
"OBS_DEU_P1M_RR","142","1962-09-01","101.3","4","5",
"OBS_DEU_P1M_RR","142","1962-10-01","23.4","4","5",
"OBS_DEU_P1M_RR","142","1962-11-01","23.7","4","5",
"OBS_DEU_P1M_RR","142","1962-12-01","72.7","4","5",
"OBS_DEU_P1M_RR","142","1963-01-01","25.1","4","5",
"OBS_DEU_P1M_RR","142","1963-02-01","31.7","4","5",
"OBS_DEU_P1M_RR","142","1963-03-01","69.3","4","5",
"OBS_DEU_P1M_RR","142","1963-04-01","35.9","4","5",
"OBS_DEU_P1M_RR","142","1963-05-01","102.8","4","5",
"OBS_DEU_P1M_RR","142","1963-06-01","75.4","4","5",
"OBS_DEU_P1M_RR","142","1963-07-01","106.9","4","5",
"OBS_DEU_P1M_RR","142","1963-08-01","140.4","4","5",
"OBS_DEU_P1M_RR","142","1963-09-01","70.3","4","5",
"OBS_DEU_P1M_RR","142","1963-10-01","26.4","4","5",
"OBS_DEU_P1M_RR","142","1963-11-01","90.3","4","5",
"OBS_DEU_P1M_RR","142","1963-12-01","7.8","4","5",
"OBS_DEU_P1M_RR","142","1964-01-01","18.7","4","5",
"OBS_DEU_P1M_RR","142","1964-02-01","33.1","4","5",
"OBS_DEU_P1M_RR","142","1964-03-01","75.3","4","5",
"OBS_DEU_P1M_RR","142","1964-04-01","66","4","5",
"OBS_DEU_P1M_RR","142","1964-05-01","125.1","4","5",
"OBS_DEU_P1M_RR","142","1964-06-01","73.8","4","5",
"OBS_DEU_P1M_RR","142","1964-07-01","11.9","4","5",
"OBS_DEU_P1M_RR","142","1964-08-01","57","4","5",
"OBS_DEU_P1M_RR","142","1964-09-01","28.2","4","5",
"OBS_DEU_P1M_RR","142","1964-10-01","81.6","4","5",
"OBS_DEU_P1M_RR","142","1964-11-01","75.4","4","5",
"OBS_DEU_P1M_RR","142","1964-12-01","33.6","4","5",
"OBS_DEU_P1M_RR","142","1965-01-01","46.7","4","5",
"OBS_DEU_P1M_RR","142","1965-02-01","33.4","4","5",
"OBS_DEU_P1M_RR","142","1965-03-01","60.6","4","5",
"OBS_DEU_P1M_RR","142","1965-04-01","124.9","4","5",
"OBS_DEU_P1M_RR","142","1965-05-01","165.3","4","5",
"OBS_DEU_P1M_RR","142","1965-06-01","168.6","4","5",
"OBS_DEU_P1M_RR","142","1965-07-01","196.6","4","5",
"OBS_DEU_P1M_RR","142","1965-08-01","58.6","4","5",
"OBS_DEU_P1M_RR","142","1965-09-01","81.8","4","5",
"OBS_DEU_P1M_RR","142","1965-10-01","5.4","4","5",
"OBS_DEU_P1M_RR","142","1965-11-01","67","4","5",
"OBS_DEU_P1M_RR","142","1965-12-01","71","4","5",
"OBS_DEU_P1M_RR","142","1966-01-01","26.1","4","5",
"OBS_DEU_P1M_RR","142","1966-02-01","61.9","4","5",
"OBS_DEU_P1M_RR","142","1966-03-01","46.5","4","5",
"OBS_DEU_P1M_RR","142","1966-04-01","80.7","4","5",
"OBS_DEU_P1M_RR","142","1966-05-01","125","4","5",
"OBS_DEU_P1M_RR","142","1966-06-01","114.5","4","5",
"OBS_DEU_P1M_RR","142","1966-07-01","149","4","5",
"OBS_DEU_P1M_RR","142","1966-08-01","162.8","4","5",
"OBS_DEU_P1M_RR","142","1966-09-01","46.1","4","5",
"OBS_DEU_P1M_RR","142","1966-10-01","94.5","4","5",
"OBS_DEU_P1M_RR","142","1966-11-01","26.4","4","5",
"OBS_DEU_P1M_RR","142","1966-12-01","80.9","4","5",
"OBS_DEU_P1M_RR","142","1967-01-01","31.8","4","5",
"OBS_DEU_P1M_RR","142","1967-02-01","41.5","4","5",
"OBS_DEU_P1M_RR","142","1967-03-01","49.5","4","5",
"OBS_DEU_P1M_RR","142","1967-04-01","51.9","4","5",
"OBS_DEU_P1M_RR","142","1967-05-01","97","4","5",
"OBS_DEU_P1M_RR","142","1967-06-01","125","4","5",
"OBS_DEU_P1M_RR","142","1967-07-01","73.3","4","5",
"OBS_DEU_P1M_RR","142","1967-08-01","91.1","4","5",
"OBS_DEU_P1M_RR","142","1967-09-01","147.2","4","5",
"OBS_DEU_P1M_RR","142","1967-10-01","23.6","4","5",
"OBS_DEU_P1M_RR","142","1967-11-01","23.5","4","5",
"OBS_DEU_P1M_RR","142","1967-12-01","30.9","4","5",
"OBS_DEU_P1M_RR","142","1968-01-01","71.7","4","5",
"OBS_DEU_P1M_RR","142","1968-02-01","35.2","4","5",
"OBS_DEU_P1M_RR","142","1968-03-01","23.2","4","5",
"OBS_DEU_P1M_RR","142","1968-04-01","50.1","4","5",
"OBS_DEU_P1M_RR","142","1968-05-01","83.8","4","5",
"OBS_DEU_P1M_RR","142","1968-06-01","127.4","4","5",
"OBS_DEU_P1M_RR","142","1968-07-01","84.2","4","5",
"OBS_DEU_P1M_RR","142","1968-08-01","128.4","4","5",
"OBS_DEU_P1M_RR","142","1968-09-01","108.4","4","5",
"OBS_DEU_P1M_RR","142","1968-10-01","61.1","4","5",
"OBS_DEU_P1M_RR","142","1968-11-01","11.7","4","5",
"OBS_DEU_P1M_RR","142","1968-12-01","25.1","4","5",
"OBS_DEU_P1M_RR","142","1969-01-01","32.9","4","5",
"OBS_DEU_P1M_RR","142","1969-02-01","37.1","4","5",
"OBS_DEU_P1M_RR","142","1969-03-01","57.8","4","5",
"OBS_DEU_P1M_RR","142","1969-04-01","44.2","4","5",
"OBS_DEU_P1M_RR","142","1969-05-01","68.5","4","5",
"OBS_DEU_P1M_RR","142","1969-06-01","167.9","4","5",
"OBS_DEU_P1M_RR","142","1969-07-01","57.2","4","5",
"OBS_DEU_P1M_RR","142","1969-08-01","135.4","4","5",
"OBS_DEU_P1M_RR","142","1969-09-01","7.8","4","5",
"OBS_DEU_P1M_RR","142","1969-10-01","5.2","4","5",
"OBS_DEU_P1M_RR","142","1969-11-01","58.7","4","5",
"OBS_DEU_P1M_RR","142","1969-12-01","46.8","4","5",
"OBS_DEU_P1M_RR","142","1970-01-01","43.1","4","5",
"OBS_DEU_P1M_RR","142","1970-02-01","124.1","4","5",
"OBS_DEU_P1M_RR","142","1970-03-01","28","4","5",
"OBS_DEU_P1M_RR","142","1970-04-01","113","4","5",
"OBS_DEU_P1M_RR","142","1970-05-01","76.2","4","5",
"OBS_DEU_P1M_RR","142","1970-06-01","78.2","4","5",
"OBS_DEU_P1M_RR","142","1970-07-01","84.2","4","5",
"OBS_DEU_P1M_RR","142","1970-08-01","146.1","4","5",
"OBS_DEU_P1M_RR","142","1970-09-01","50.7","4","5",
"OBS_DEU_P1M_RR","142","1970-10-01","69.6","4","5",
"OBS_DEU_P1M_RR","142","1970-11-01","57.1","4","5",
"OBS_DEU_P1M_RR","142","1970-12-01","32.8","4","5",
"OBS_DEU_P1M_RR","142","1971-01-01","20.5","4","5",
"OBS_DEU_P1M_RR","142","1971-02-01","40.7","4","5",
"OBS_DEU_P1M_RR","142","1971-03-01","34.8","4","5",
"OBS_DEU_P1M_RR","142","1971-04-01","43.4","4","5",
"OBS_DEU_P1M_RR","142","1971-05-01","70.4","4","5",
"OBS_DEU_P1M_RR","142","1971-06-01","133","4","5",
"OBS_DEU_P1M_RR","142","1971-07-01","47.4","4","5",
"OBS_DEU_P1M_RR","142","1971-08-01","92.8","4","5",
"OBS_DEU_P1M_RR","142","1971-09-01","36.5","4","5",
"OBS_DEU_P1M_RR","142","1971-10-01","8.9","4","5",
"OBS_DEU_P1M_RR","142","1971-11-01","57.6","4","5",
"OBS_DEU_P1M_RR","142","1971-12-01","30.8","4","5",
"OBS_DEU_P1M_RR","142","1972-01-01","30.4","4","5",
"OBS_DEU_P1M_RR","142","1972-02-01","7.7","4","5",
"OBS_DEU_P1M_RR","142","1972-03-01","19.6","4","5",
"OBS_DEU_P1M_RR","142","1972-04-01","115.9","4","5",
"OBS_DEU_P1M_RR","142","1972-05-01","40.6","4","5",
"OBS_DEU_P1M_RR","142","1972-06-01","98.8","4","5",
"OBS_DEU_P1M_RR","142","1972-07-01","65.6","4","5",
"OBS_DEU_P1M_RR","142","1972-08-01","59.6","4","5",
"OBS_DEU_P1M_RR","142","1972-09-01","40.7","4","5",
"OBS_DEU_P1M_RR","142","1972-10-01","49.5","4","5",
"OBS_DEU_P1M_RR","142","1972-11-01","148.6","4","5",
"OBS_DEU_P1M_RR","142","1972-12-01","12.1","4","5",
"OBS_DEU_P1M_RR","142","1973-01-01","32.3","4","5",
"OBS_DEU_P1M_RR","142","1973-02-01","40.6","4","5",
"OBS_DEU_P1M_RR","142","1973-03-01","43.1","4","5",
"OBS_DEU_P1M_RR","142","1973-04-01","67.2","4","5",
"OBS_DEU_P1M_RR","142","1973-05-01","53.9","4","5",
"OBS_DEU_P1M_RR","142","1973-06-01","93.2","4","5",
"OBS_DEU_P1M_RR","142","1973-07-01","102.8","4","5",
"OBS_DEU_P1M_RR","142","1973-08-01","75.6","4","5",
"OBS_DEU_P1M_RR","142","1973-09-01","37.5","4","5",
"OBS_DEU_P1M_RR","142","1973-10-01","74.1","4","5",
"OBS_DEU_P1M_RR","142","1973-11-01","116.6","4","5",
"OBS_DEU_P1M_RR","142","1973-12-01","47.2","4","5",
